S_NUMBER,BP_NUMBER,MODEL,E_TYPE,NAME,STATUS,DOMAIN,PROVIDER,IP,MAC_ADDRESS,MONITOR_TYPE,DETAIL1,DETAIL2,DETAIL3
29J143901185,P901630,ZEBRA GK420t,IMPRESORA,GK420T-AKRO-4F,BACKUP,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,GK420T-AKRO-4F,
29J143901192,P901625,ZEBRA GK420t,IMPRESORA,GK420T-AKRO-3F,BACKUP,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,GK420T-AKRO-3F,
29J143901198,P901621,ZEBRA GK420t,IMPRESORA,GK420T-APEX10,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,GK420T-APEX10,IMPRESORA
29J144000781,P901633,ZEBRA GK420t,IMPRESORA,GK420T-LAN03,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,GK420T-LAN03,IMPRESORA
29J150400662,P901620,ZEBRA GK420t,IMPRESORA,GK420T-LISTINO,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,GK420T-LISTINO,
29J150400680,P901635,ZEBRA GK420t,IMPRESORA,GK420T-ASTEC-1F,BACKUP,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,GK420T-ASTEC-1F,
29J174302495,BP00201NULL,ZEBRA GK420t,IMPRESORA,GK420T-TTM2,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,GK420T-TTM2,
29J174302497,BP00207NULL,ZEBRA GK420t,IMPRESORA,GK420T-JAULA,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,GK420T-JAULA,
29J174302518,BP00203NULL,ZEBRA GK420t,IMPRESORA,GK420T-TTM4,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,GK420T-TTM4,
29J174302524,BP00190NULL,ZEBRA GK420t,IMPRESORA,GK420T-APEX08,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,GK420T-APEX08,IMPRESORA
29J174302531,BP00197NULL,ZEBRA GK420t,IMPRESORA,GK420T-TPCS,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,GK420T-TPCS,IMPRESORA
29J174603050,BP00213NULL,ZEBRA GK420t,IMPRESORA,GK420T-AKRO-1F,BACKUP,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,GK420T-AKRO-1F,
29J174603056,BP00192NULL,ZEBRA GK420t,IMPRESORA,GK420T-APEX06,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,GK420T-APEX06,IMPRESORA
29J180501591,BP00210NULL,ZEBRA GK420t,IMPRESORA,GK420T-AKRO-2,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,GK420T-AKRO-2,
29J180501632,BP00189NULL,ZEBRA GK420t,IMPRESORA,GK420T-APEX11,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,GK420T-APEX11,IMPRESORA
29J180501641,BP00212NULL,ZEBRA GK420t,IMPRESORA,GK420T-AKRO-1,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,GK420T-AKRO-1,
29J182403372,BP00186NULL,ZEBRA GK420t,IMPRESORA,GK420T-KAMPF2,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,GK420T-KAMPF2,IMPRESORA
29J182403396,BP00187NULL,ZEBRA GK420t,IMPRESORA,GK420T-APEX14,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,GK420T-APEX14,IMPRESORA
29J182403405,BP00193NULL,ZEBRA GK420t,IMPRESORA,GK420T-TAP6,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,GK420T-TAP6,IMPRESORA
29J182403427,BP00188NULL,ZEBRA GK420t,IMPRESORA,GK420T-APEX12,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,GK420T-APEX12,IMPRESORA
29J182802136,BP00204NULL,ZEBRA GK420t,IMPRESORA,GK420T-RECUPERADO,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,GK420T-RECUPERADO,
29J190401367,BP00208NULL,ZEBRA GK420t,IMPRESORA,GK420T-DESPACHO,BACKUP,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,GK420T-DESPACHO,
29J192101807,BP00202NULL,ZEBRA GK420t,IMPRESORA,GK420T-TTM3,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,GK420T-TTM3,
29J192202400,BP00185NULL,ZEBRA GK420t,IMPRESORA,GK420T-KAMPF1,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,GK420T-KAMPF1,IMPRESORA
3CQ1090F7Y,BP00117NULL,HP v194,MONITOR,HP-TR20-1,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO MONITOR,MONITOR TR20-1,CF 2
3H8JN32,P901725,E7450,NOTEBOOKS,WKS064-60AR,ACTIVE,MerloTyres,,,34-E6-D7-5A-F4-5A,NAME,GALIANO MARTIN,,
3M997P2,BP00147NULL,D13S,DESKTOPS,WKS064-3AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,AKRODINE 2,
3YF77P2,BP00026NULL,3080,DESKTOPS,WKS064-21AR,ACTIVE,MerloTyres,PIRELLI,10.131.142.79,,IP,ARMADO MOTO,VISIVO MOTO,
3Z397P2,BP00091NULL,3080,DESKTOPS,WKS064-22AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO MOTO,CM20-2,
42789T2,9E+11,3080,DESKTOPS,WKS064-103AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL VISIVO,SERVIDOR,CV
42HVC3,BP00053NULL,D15S,DESKTOPS,WKS064-308AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,TR20-1,CF 2
42JWZC3,BP00047NULL,D15S,DESKTOPS,WKS064-299AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8C-04,CF 2
42LYZC3,BP00016NULL,D15S,DESKTOPS,WKS064-270AR,BACKUP,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-25,CF 1
42MQZC3,BP00048NULL,3080,DESKTOPS,WKS064-278AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8C-01,CF 2
42MVZC3,BP00093NULL,D15S,DESKTOPS,WKS064-310AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO MOTO,CM20-3,
